tri,taille,cas,plage,temps
rapide,7000,croissant,grande,0.000223
bulle_basique,7000,decroissant,grande,0.089894
bulle_basique_v2,7000,decroissant,grande,0.058819
bulle_optimise,7000,decroissant,grande,0.059291
cocktail,7000,decroissant,grande,0.056778
selection,7000,decroissant,grande,0.036954
insertion,7000,decroissant,grande,0.034397
comptage,7000,decroissant,grande,0.000048
fusion,7000,decroissant,grande,0.000563
rapide,7000,decroissant,grande,0.000244
bulle_basique,7000,constant,grande,0.065348
bulle_basique_v2,7000,constant,grande,0.032831
bulle_optimise,7000,constant,grande,0.000010
cocktail,7000,constant,grande,0.000020
selection,7000,constant,grande,0.032592
insertion,7000,constant,grande,0.000017
comptage,7000,constant,grande,0.001126
fusion,7000,constant,grande,0.000566
rapide,7000,constant,grande,0.054416
bulle_basique,9000,aleatoire,petite,0.180795
bulle_basique_v2,9000,aleatoire,petite,0.126928
bulle_optimise,9000,aleatoire,petite,0.128519
cocktail,9000,aleatoire,petite,0.102680
selection,9000,aleatoire,petite,0.054570
insertion,9000,aleatoire,petite,0.027317
comptage,9000,aleatoire,petite,0.000035
fusion,9000,aleatoire,petite,0.001057
rapide,9000,aleatoire,petite,0.004681
bulle_basique,9000,croissant,petite,0.108344
bulle_basique_v2,9000,croissant,petite,0.055051
bulle_optimise,9000,croissant,petite,0.000012
cocktail,9000,croissant,petite,0.000024
selection,9000,croissant,petite,0.054439
insertion,9000,croissant,petite,0.000023
comptage,9000,croissant,petite,0.000067
fusion,9000,croissant,petite,0.000749
rapide,9000,croissant,petite,0.000248
bulle_basique,9000,decroissant,petite,0.148073
bulle_basique_v2,9000,decroissant,petite,0.097984
bulle_optimise,9000,decroissant,petite,0.098025
cocktail,9000,decroissant,petite,0.093823
selection,9000,decroissant,petite,0.061458
insertion,9000,decroissant,petite,0.057293
comptage,9000,decroissant,petite,0.000069
fusion,9000,decroissant,petite,0.000745
rapide,9000,decroissant,petite,0.000316
bulle_basique,9000,constant,petite,0.118057
bulle_basique_v2,9000,constant,petite,0.056247
bulle_optimise,9000,constant,petite,0.000013
cocktail,9000,constant,petite,0.000025
selection,9000,constant,petite,0.054381
insertion,9000,constant,petite,0.000022
comptage,9000,constant,petite,0.000048
fusion,9000,constant,petite,0.000721
rapide,9000,constant,petite,0.091910
bulle_basique,9000,aleatoire,grande,0.182982
bulle_basique_v2,9000,aleatoire,grande,0.133727
bulle_optimise,9000,aleatoire,grande,0.129720
cocktail,9000,aleatoire,grande,0.103168
selection,9000,aleatoire,grande,0.054557
insertion,9000,aleatoire,grande,0.028440
comptage,9000,aleatoire,grande,0.002152
fusion,9000,aleatoire,grande,0.001287
rapide,9000,aleatoire,grande,0.000734
bulle_basique,9000,croissant,grande,0.108238
bulle_basique_v2,9000,croissant,grande,0.054378
bulle_optimise,9000,croissant,grande,0.000012
cocktail,9000,croissant,grande,0.000024
selection,9000,croissant,grande,0.053630
insertion,9000,croissant,grande,0.000021
comptage,9000,croissant,grande,0.000069
fusion,9000,croissant,grande,0.000774
rapide,9000,croissant,grande,0.000275
bulle_basique,9000,decroissant,grande,0.157327
bulle_basique_v2,9000,decroissant,grande,0.101092
bulle_optimise,9000,decroissant,grande,0.098826
cocktail,9000,decroissant,grande,0.097841
selection,9000,decroissant,grande,0.061920
insertion,9000,decroissant,grande,0.057353
